latitude,longitude,elevation,distance,frequency,ht,hr,distance_x,distance_y,tantennaelev,clutterheight,pathloss,tlatitude,tlongitude
33.65666667,35.7475,945,1.528709488,868,1.5,12,-0.01401333,-0.00283,932.4,4,131,33.67068,35.75033
33.65666667,35.7475,945,1.528709488,868,1.5,12,-0.01401333,-0.00283,932.4,4,137,33.67068,35.75033
33.65666667,35.7475,945,1.528709488,868,1.5,12,-0.01401333,-0.00283,932.4,4,122,33.67068,35.75033
33.65666667,35.7475,945,1.528709488,868,1.5,12,-0.01401333,-0.00283,932.4,4,119,33.67068,35.75033
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,101,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,102,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,105,33.66613,35.74602
